央视频道,#genre#
CCTV4,http://222.129.139.229:8888/rtp/239.3.1.105:8092,0.61
CCTV4,http://175.146.122.104:8888/rtp/232.0.0.201:1234,0.6
CCTV4,http://175.146.122.104:8888/rtp/232.0.0.155:1234,0.6
CCTV4,http://114.254.85.102:8888/rtp/239.3.1.105:8092,0.6
CCTV4,http://60.10.106.114:555/rtp/239.253.92.251:6141,0.58
CCTV4欧洲,http://221.219.79.161:4000/rtp/239.3.1.213:4220,1.01
CCTV4欧洲,http://114.246.96.72:4000/rtp/239.3.1.213:4220,1.01
CCTV4欧洲,http://123.121.2.167:4000/rtp/239.3.1.213:4220,1.0
CCTV4欧洲,http://111.196.129.152:20000/rtp/239.3.1.213:4220,0.83
CCTV4欧洲,http://114.252.238.87:8000/rtp/239.3.1.213:4220,0.79
CCTV4欧洲,http://123.118.229.243:9090/rtp/239.3.1.213:4220,0.78
CCTV4欧洲,http://123.118.159.0:8686/rtp/239.3.1.213:4220,0.73
CCTV4欧洲,http://60.2.190.206:4000/rtp/239.253.93.192:6370,0.69
CCTV4欧洲,http://222.128.86.76:8133/rtp/239.3.1.213:4220,0.62
CCTV4欧洲,http://123.113.187.204:8000/rtp/239.3.1.213:4220,0.61
CCTV4欧洲,http://123.113.189.90:8001/rtp/239.3.1.213:4220,0.61
CCTV4欧洲,http://114.243.110.0:4000/rtp/239.3.1.213:4220,0.61
CCTV4欧洲,http://222.129.139.229:8888/rtp/239.3.1.213:4220,0.61
CCTV4欧洲,http://114.254.85.102:8888/rtp/239.3.1.213:4220,0.6
CCTV4欧洲,http://60.10.106.114:555/rtp/239.253.93.192:6370,0.58
CCTV4美洲,http://221.219.79.161:4000/rtp/239.3.1.214:4220,1.01
CCTV4美洲,http://114.246.96.72:4000/rtp/239.3.1.214:4220,1.01
CCTV4美洲,http://123.121.2.167:4000/rtp/239.3.1.214:4220,1.0
CCTV4美洲,http://111.196.129.152:20000/rtp/239.3.1.214:4220,0.83
CCTV4美洲,http://114.252.238.87:8000/rtp/239.3.1.214:4220,0.79
CCTV4美洲,http://123.118.229.243:9090/rtp/239.3.1.214:4220,0.78
CCTV4美洲,http://123.118.159.0:8686/rtp/239.3.1.214:4220,0.73
CCTV4美洲,http://60.2.190.206:4000/rtp/239.253.93.193:6371,0.69
