奥运2024频道,#genre#
ELTA奥运1台,https://api.btbt.im/live?id=elta-oly1
ELTA奥运2台,https://api.btbt.im/live?id=elta-oly2
ELTA奥运3台,https://api.btbt.im/live?id=elta-oly3
ELTA奥运4台,https://api.btbt.im/live?id=elta-oly4
ELTA奥运5台,https://api.btbt.im/live?id=elta-oly5
ELTA奥运6台,https://api.btbt.im/live?id=elta-oly6
ELTA奥运7台,https://api.btbt.im/live?id=elta-oly7
Astro OLY 1,https://api.btbt.im/live?id=astro-oly1
Astro OLY 2,https://api.btbt.im/live?id=astro-oly2
Astro OLY 3,https://api.btbt.im/live?id=astro-oly3
Astro OLY 4,https://api.btbt.im/live?id=astro-oly4
Astro OLY 5,https://api.btbt.im/live?id=astro-oly5
MyTVSuper奥运801,https://api.btbt.im/live?id=mytvsuper-oly801
MyTVSuper奥运802,https://api.btbt.im/live?id=mytvsuper-oly802
MyTVSuper奥运803,https://api.btbt.im/live?id=mytvsuper-oly803
MyTVSuper奥运804,https://api.btbt.im/live?id=mytvsuper-oly804
MyTVSuper奥运805,https://api.btbt.im/live?id=mytvsuper-oly805
MyTVSuper奥运806,https://api.btbt.im/live?id=mytvsuper-oly806
MyTVSuper奥运807,https://api.btbt.im/live

央视频道,#genre#
CCTV9,http://110.241.190.30:808/hls/9/index.m3u8
CCTV9,http://113.9.152.139:88:9003/hls/9/index.m3u8
CCTV9,http://113.9.149.250:88/hls/9/index.m3u8
CCTV9,http://113.9.152.139:88/hls/9/index.m3u8
cctv9,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv9.m3u8
CCTV10,http://113.9.149.250:88/hls/10/index.m3u8
CCTV10,http://113.9.152.139:88/hls/10/index.m3u8
CCTV10,http://110.241.190.30:808/hls/10/index.m3u8
CCTV10,http://113.57.109.48:1111/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://113.9.152.139:88:9003/hls/10/index.m3u8
cctv10,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv10.m3u8
CCTV11,http://113.9.152.139:88/hls/11/index.m3u8
cctv11,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv11.m3u8
CCTV11,http://110.241.190.30:808/hls/11/index.m3u8
CCTV11,http://113.9.152.139:88:9003/hls/11/index.m3u8
CCTV11,http://113.57.109.48:1111/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://113.9.149.250:88/hls/11/index.m3u8
CCTV12,http://113.9.152.139:88/hls/12/index.m3u8
CCTV12,http://113.9.152.139:88:9003/hls/12/index.m3u8
cctv12,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv12.m3u8
CCTV12,http://113.9.149.250:88/hls/12/index.m3u8
CCTV12,http://113.57.109.48:1111/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://110.241.190.30:808/hls/12/index.m3u8
CCTV13,http://113.9.152.139:88/hls/13/index.m3u8
CCTV13,http://113.9.152.139:88:9003/hls/13/index.m3u8
CCTV13,http://113.57.109.48:1111/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://113.9.149.250:88/hls/13/index.m3u8
CCTV13,http://110.241.190.30:808/hls/13/index.m3u8
cctv13,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv13.m3u8
CCTV14,http://113.9.152.139:88/hls/14/index.m3u8
CCTV14,http://113.9.152.139:88:9003/hls/14/index.m3u8
cctv14,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv14.m3u8
CCTV14,http://113.57.109.48:1111/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://110.241.190.30:808/hls/14/index.m3u8
CCTV14,http://113.9.149.250:88/hls/14/index.m3u8
CCTV15,http://113.9.149.250:88/hls/15/index.m3u8
CCTV15,http://113.9.152.139:88:9003/hls/15/index.m3u8
CCTV15,http://113.9.152.139:88/hls/15/index.m3u8
CCTV15,http://110.241.190.30:808/hls/15/index.m3u8
CCTV15,http://113.57.109.48:1111/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
cctv15,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv15.m3u8
CCTV16,http://113.9.152.139:88:9003/hls/16/index.m3u8
CCTV16,http://110.241.190.30:808/hls/16/index.m3u8
CCTV16,http://113.9.149.250:88/hls/100/index.m3u8
CCTV16奥林匹克,http://113.9.152.139:88/hls/100/index.m3u8
CCTV16,http://113.57.109.48:1111/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://113.9.149.250:88/hls/17/index.m3u8
CCTV17,http://113.9.152.139:88/hls/17/index.m3u8
cctv17,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv17.m3u8
CCTV17,http://113.57.109.48:1111/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://113.9.152.139:88:9003/hls/17/index.m3u8
CCTV购物,http://113.9.152.139:88/hls/612/index.m3u8
CCTVCHTV,http://113.9.152.139:88:9003/hls/34/index.m3u8
卫视频道,#genre#
东南卫视,http://110.241.190.30:808/hls/34/index.m3u8
东南卫视,http://113.57.109.48:1111/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://113.9.149.250:88/hls/61/index.m3u8
东南卫视,http://113.9.152.139:88/hls/61/index.m3u8
东南卫视,http://113.9.152.139:88:9003/hls/94/index.m3u8
东方卫视,http://110.241.190.30:808/hls/32/index.m3u8
东方卫视,http://113.57.109.48:1111/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://113.9.149.250:88/hls/32/index.m3u8
东方卫视,http://113.9.152.139:88/hls/32/index.m3u8
东方卫视,http://113.9.152.139:88:9003/hls/85/index.m3u8
东方卫视,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/dfws.m3u8
云南卫视,http://110.241.190.30:808/hls/47/index.m3u8
云南卫视,http://113.9.149.250:88/hls/59/index.m3u8
云南卫视,http://113.9.152.139:88/hls/59/index.m3u8
云南卫视,http://113.9.152.139:88:9003/hls/104/index.m3u8
兵团卫视,http://113.9.149.250:88/hls/57/index.m3u8
兵团卫视,http://113.9.152.139:88/hls/57/index.m3u8
兵团卫视,http://113.9.152.139:88:9003/hls/109/index.m3u8
内蒙古卫视,http://110.241.190.30:808/hls/39/index.m3u8
内蒙古卫视,http://113.9.149.250:88/hls/55/index.m3u8
内蒙古卫视,http://113.9.152.139:88/hls/55/index.m3u8
内蒙古卫视,http://113.9.152.139:88:9003/hls/107/index.m3u8
北京卫视,http://110.241.190.30:808/hls/21/index.m3u8
北京卫视,http://113.57.109.48:1111/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://113.9.149.250:88/hls/31/index.m3u8
北京卫视,http://113.9.152.139:88/hls/31/index.m3u8
北京卫视,http://113.9.152.139:88:9003/hls/86/index.m3u8
吉林卫视,http://110.241.190.30:808/hls/36/index.m3u8
吉林卫视,http://113.9.149.250:88/hls/26/index.m3u8
吉林卫视,http://113.9.152.139:88/hls/26/index.m3u8
吉林卫视,http://113.9.152.139:88:9003/hls/102/index.m3u8
吉林卫视,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/jlws.m3u8
四川卫视,http://110.241.190.30:808/hls/31/index.m3u8
四川卫视,http://113.57.109.48:1111/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://113.9.149.250:88/hls/44/index.m3u8
四川卫视,http://113.9.152.139:88/hls/44/index.m3u8
四川卫视,http://113.9.152.139:88:9003/hls/95/index.m3u8
四川卫视,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/scws.m3u8
大湾区卫视,http://113.9.149.250:88/hls/37/index.m3u8
大湾区卫视,http://113.9.152.139:88/hls/37/index.m3u8
大湾区卫视,http://113.9.152.139:88:9003/hls/113/index.m3u8
天津卫视,http://110.241.190.30:808/hls/22/index.m3u8
天津卫视,http://113.57.109.48:1111/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://113.9.149.250:88/hls/39/index.m3u8
天津卫视,http://113.9.152.139:88/hls/39/index.m3u8
天津卫视,http://113.9.152.139:88:9003/hls/90/index.m3u8
