台灣頻道,#genre#
台視新聞,https://fm1077.serv00.net/anbo/index.php?id=2399
台視新聞,https://fm1077.serv00.net/anbo/index.php?id=1
中視新聞,https://fm1077.serv00.net/anbo/index.php?id=2400
寰宇新聞,https://fm1077.serv00.net/anbo/index.php?id=2401
寰宇新聞,https://fm1077.serv00.net/anbo/index.php?id=304
寰宇財經,https://fm1077.serv00.net/anbo/index.php?id=2536
公視新聞,https://fm1077.serv00.net/anbo/index.php?id=20
寰宇臺灣,https://fm1077.serv00.net/anbo/index.php?id=87
年代新聞,https://fm1077.serv00.net/anbo/index.php?id=2719
年代新聞,https://fm1077.serv00.net/anbo/index.php?id=1099
壹新聞,https://fm1077.serv00.net/anbo/index.php?id=2777
壹新聞,https://fm1077.serv00.net/anbo/index.php?id=494
台視財經,https://fm1077.serv00.net/anbo/index.php?id=300
鏡新聞mnews,https://fm1077.serv00.net/anbo/index.php?id=463
三立国際,https://fm1077.serv00.net/anbo/index.php?id=2285
CBN News,https://fm1077.serv00.net/anbo/index.php?id=499
東森戲劇,https://fm1077.serv00.net/anbo/index.php?id=2825
東森戲劇,https://fm1077.serv00.net/anbo/index.php?id=321
八大戲劇,https://fm1077.serv00.net/anbo/index.php?id=81
緯來戲劇,https://fm1077.serv00.net/anbo/index.php?id=2727
緯來戲劇,https://fm1077.serv00.net/anbo/index.php?id=339
東森電影,https://fm1077.serv00.net/anbo/index.php?id=350
東森電影,https://fm1077.serv00.net/anbo/index.php?id=2720
緯來電影,https://fm1077.serv00.net/anbo/index.php?id=2728
HBO HD,https://fm1077.serv00.net/anbo/index.php?id=332
HBO HD,https://fm1077.serv00.net/anbo/index.php?id=2823
東森洋片,https://fm1077.serv00.net/anbo/index.php?id=1128
壹電影,https://fm1077.serv00.net/anbo/index.php?id=2284
好萊塢電影,https://fm1077.serv00.net/anbo/index.php?id=37
愛爾達影劇,https://fm1077.serv00.net/anbo/index.php?id=500
CineMAX,https://fm1077.serv00.net/anbo/index.php?id=346
靖天映畫,https://fm1077.serv00.net/anbo/index.php?id=349
靖洋戲劇,https://fm1077.serv00.net/anbo/index.php?id=319
緯來精彩,https://fm1077.serv00.net/anbo/index.php?id=2280
EYE戲劇,https://fm1077.serv00.net/anbo/index.php?id=191
三立戲劇,https://fm1077.serv00.net/anbo/index.php?id=64
三立戲劇,https://fm1077.serv00.net/anbo/index.php?id=2819
龍華偶像,https://fm1077.serv00.net/anbo/index.php?id=385
霹靂臺灣,https://fm1077.serv00.net/anbo/index.php?id=1339
靖天電影,https://fm1077.serv00.net/anbo/index.php?id=110
美亞電影,https://fm1077.serv00.net/anbo/index.php?id=375
HBOSignature,https://fm1077.serv00.net/anbo/index.php?id=329
HBOSignature,https://fm1077.serv00.net/anbo/index.php?id=2824
HBO Hits,https://fm1077.serv00.net/anbo/index.php?id=330
采昌影劇,https://fm1077.serv00.net/anbo/index.php?id=62
采昌影劇,https://fm1077.serv00.net/anbo/index.php?id=2804
影迷數位電影,https://fm1077.serv00.net/anbo/index.php?id=497
影迷數位電影,https://fm1077.serv00.net/anbo/index.php?id=2800
龍華戲劇,https://fm1077.serv00.net/anbo/index.php?id=365
龍華戲劇,https://fm1077.serv00.net/anbo/index.php?id=2796
龍華經典,https://fm1077.serv00.net/anbo/index.php?id=100
龍翔時代,https://fm1077.serv00.net/anbo/index.php?id=373
AXN臺灣,https://fm1077.serv00.net/anbo/index.php?id=2816
天映經典,https://fm1077.serv00.net/anbo/index.php?id=2289
公視戲劇,https://fm1077.serv00.net/anbo/index.php?id=69
AXN亞洲,https://fm1077.serv00.net/anbo/index.php?id=1066
Trill恐怖電影,https://fm1077.serv00.net/anbo/index.php?id=18
龍華電影,https://fm1077.serv00.net/anbo/index.php?id=311
華納電影,https://fm1077.serv00.net/anbo/index.php?id=83
靖天戲劇,https://fm1077.serv00.net/anbo/index.php?id=109
龍華洋片,https://fm1077.serv00.net/anbo/index.php?id=341
飢餓遊戲,https://fm1077.serv00.net/anbo/index.php?id=264
緯來體育,https://fm1077.serv00.net/anbo/index.php?id=118
緯來體育,https://fm1077.serv00.net/anbo/index.php?id=2732
Eleven Sport 1,https://fm1077.serv00.net/anbo/index.php?id=3224
Eleven Sport 2,https://fm1077.serv00.net/anbo/index.php?id=301
ELTA體育1,https://fm1077.serv00.net/anbo/index.php?id=192
ELTA體育1,https://fm1077.serv00.net/anbo/index.php?id=2729
ELTA體育2,https://fm1077.serv00.net/anbo/index.php?id=193
ELTA體育2,https://fm1077.serv00.net/anbo/index.php?id=2730
ELTA體育3,https://fm1077.serv00.net/anbo/index.php?id=194
ELTA體育3,https://fm1077.serv00.net/anbo/index.php?id=2731
ELTA體育3台,https://fm1077.serv00.net/anbo/index.php?id=2722
ELTA體育4,https://fm1077.serv00.net/anbo/index.php?id=2820
Z頻道,https://fm1077.serv00.net/anbo/index.php?id=1130
博斯無限,https://fm1077.serv00.net/anbo/index.php?id=381
博斯無限,https://fm1077.serv00.net/anbo/index.php?id=2797
博斯無限2,https://fm1077.serv00.net/anbo/index.php?id=426
博斯無限2,https://fm1077.serv00.net/anbo/index.php?id=2798
博斯運動1,https://fm1077.serv00.net/anbo/index.php?id=379
博斯運動2,https://fm1077.serv00.net/anbo/index.php?id=380
亞洲旅遊,https://fm1077.serv00.net/anbo/index.php?id=2299
探索頻道,https://fm1077.serv00.net/anbo/index.php?id=2817
探索頻道,https://fm1077.serv00.net/anbo/index.php?id=1035
大陸尋奇,https://fm1077.serv00.net/anbo/index.php?id=102
動物星球,https://fm1077.serv00.net/anbo/index.php?id=367
探索亞洲,https://fm1077.serv00.net/anbo/index.php?id=306
探索科學,https://fm1077.serv00.net/anbo/index.php?id=343
國家野生（英）,https://fm1077.serv00.net/anbo/index.php?id=1038
探索EVE,https://fm1077.serv00.net/anbo/index.php?id=1036
TaiwanPlus,https://fm1077.serv00.net/anbo/index.php?id=327
視納華仁紀實,https://fm1077.serv00.net/anbo/index.php?id=91
美食星球,https://fm1077.serv00.net/anbo/index.php?id=3073
美食星球,https://fm1077.serv00.net/anbo/index.php?id=1360
EYE旅遊,https://fm1077.serv00.net/anbo/index.php?id=1494
探索動力DMAX,https://fm1077.serv00.net/anbo/index.php?id=335
Globetrotter 環遊旅行家,https://fm1077.serv00.net/anbo/index.php?id=114
MOMO親子,https://fm1077.serv00.net/anbo/index.php?id=2767
MOMO親子,https://fm1077.serv00.net/anbo/index.php?id=1126
東森幼幼（備）,https://fm1077.serv00.net/anbo/index.php?id=2771
東森幼幼,https://fm1077.serv00.net/anbo/index.php?id=371
東森亞洲呦呦,https://fm1077.serv00.net/anbo/index.php?id=293
CN卡通,https://fm1077.serv00.net/anbo/index.php?id=107
靖洋卡通,https://fm1077.serv00.net/anbo/index.php?id=348
靖天卡通,https://fm1077.serv00.net/anbo/index.php?id=344
大愛一臺,https://fm1077.serv00.net/anbo/index.php?id=11
港澳頻道,#genre#
TVB翡翠,https://fm1077.serv00.net/anbo/index.php?id=390
TVB翡翠,https://fm1077.serv00.net/anbo/index.php?id=30
TVB明珠,https://fm1077.serv00.net/anbo/index.php?id=391
TVB明珠,https://fm1077.serv00.net/anbo/index.php?id=2437
TVB plus,https://fm1077.serv00.net/anbo/index.php?id=45
TVB plus,https://fm1077.serv00.net/anbo/index.php?id=394
HOY资讯台,https://fm1077.serv00.net/anbo/index.php?id=395
Viu TV,https://fm1077.serv00.net/anbo/index.php?id=2334
Viutv,https://fm1077.serv00.net/anbo/index.php?id=72
TVB_POPC,https://fm1077.serv00.net/anbo/index.php?id=2818
TVB直播,https://fm1077.serv00.net/anbo/index.php?id=2743
TVB J2,https://fm1077.serv00.net/anbo/index.php?id=392
TVB J2,https://fm1077.serv00.net/anbo/index.php?id=2834
鳳凰香港,https://fm1077.serv00.net/anbo/index.php?id=2810
鳳凰衛視,https://fm1077.serv00.net/anbo/index.php?id=2291
鳳凰衛視,https://fm1077.serv00.net/anbo/index.php?id=2812
鳳凰资讯,https://fm1077.serv00.net/anbo/index.php?id=2811
鳳凰资讯,https://fm1077.serv00.net/anbo/index.php?id=2292
星空衛視,https://fm1077.serv00.net/anbo/index.php?id=56
港臺32,https://fm1077.serv00.net/anbo/index.php?id=397
HKIBC,https://fm1077.serv00.net/anbo/index.php?id=354
HOY,https://fm1077.serv00.net/anbo/index.php?id=401
18台,https://fm1077.serv00.net/anbo/index.php?id=2813
廣東珠江,https://fm1077.serv00.net/anbo/index.php?id=1034
18台,https://fm1077.serv00.net/anbo/index.php?id=44
澳門蓮花,https://fm1077.serv00.net/anbo/index.php?id=70
鳳凰電影,https://fm1077.serv00.net/anbo/index.php?id=2814
Viutv 6,https://fm1077.serv00.net/anbo/index.php?id=176
創世電視,https://fm1077.serv00.net/anbo/index.php?id=1317
澳亞衛視,https://fm1077.serv00.net/anbo/index.php?id=85
Euronews English,https://fm1077.serv00.net/anbo/index.php?id=2342
TVB亞洲劇,https://fm1077.serv00.net/anbo/index.php?id=1048
TVB粵語片,https://fm1077.serv00.net/anbo/index.php?id=1589
TVB功夫台,https://fm1077.serv00.net/anbo/index.php?id=168
TVB1,https://fm1077.serv00.net/anbo/index.php?id=1242
TVB DRAMA,https://fm1077.serv00.net/anbo/index.php?id=1243
TVBJ1,https://fm1077.serv00.net/anbo/index.php?id=1244
TVBE,https://fm1077.serv00.net/anbo/index.php?id=1245
新時代東部,https://fm1077.serv00.net/anbo/index.php?id=1286
（時移）新時代東,https://fm1077.serv00.net/anbo/index.php?id=1287
新時代2,https://fm1077.serv00.net/anbo/index.php?id=1288
城市電視,https://fm1077.serv00.net/anbo/index.php?id=1289
TVB星河,https://fm1077.serv00.net/anbo/index.php?id=1079
TVB經典,https://fm1077.serv00.net/anbo/index.php?id=1083
新聞頻道,#genre#
HOY资讯台,https://fm1077.serv00.net/anbo/index.php?id=395
HKIBC,https://fm1077.serv00.net/anbo/index.php?id=354
三立新聞,https://fm1077.serv00.net/anbo/index.php?id=43
三立新聞,https://fm1077.serv00.net/anbo/index.php?id=2794
三立新聞,https://fm1077.serv00.net/anbo/index.php?id=2392
三立新聞+,https://fm1077.serv00.net/anbo/index.php?id=320
東森新聞,https://fm1077.serv00.net/anbo/index.php?id=1025
東森新聞4,https://fm1077.serv00.net/anbo/index.php?id=2766
東森新聞,https://fm1077.serv00.net/anbo/index.php?id=1358
東森新聞,https://fm1077.serv00.net/anbo/index.php?id=2393
東森亞洲,https://fm1077.serv00.net/anbo/index.php?id=3
中天新聞,https://fm1077.serv00.net/anbo/index.php?id=2394
中天新聞2台,https://fm1077.serv00.net/anbo/index.php?id=152
中天新聞,https://fm1077.serv00.net/anbo/index.php?id=2420
民視新聞,https://fm1077.serv00.net/anbo/index.php?id=2395
民視新聞,https://fm1077.serv00.net/anbo/index.php?id=13
TVBS新聞,https://fm1077.serv00.net/anbo/index.php?id=2736
TVBS新聞,https://fm1077.serv00.net/anbo/index.php?id=2
TVBS新聞,https://fm1077.serv00.net/anbo/index.php?id=2396
東森財經,https://fm1077.serv00.net/anbo/index.php?id=2397
東森財經,https://fm1077.serv00.net/anbo/index.php?id=12
華視新聞,https://fm1077.serv00.net/anbo/index.php?id=2424
華視新聞,https://fm1077.serv00.net/anbo/index.php?id=1171
三立iNEWS,https://fm1077.serv00.net/anbo/index.php?id=2398
三立iNEWS,https://fm1077.serv00.net/anbo/index.php?id=6
台視新聞,https://fm1077.serv00.net/anbo/index.php?id=2399
台視新聞,https://fm1077.serv00.net/anbo/index.php?id=1
中視新聞,https://fm1077.serv00.net/anbo/index.php?id=2400
中視新聞,https://fm1077.serv00.net/anbo/index.php?id=7
寰宇新聞,https://fm1077.serv00.net/anbo/index.php?id=2401
寰宇新聞,https://fm1077.serv00.net/anbo/index.php?id=304
寰宇財經,https://fm1077.serv00.net/anbo/index.php?id=2536
公視新聞,https://fm1077.serv00.net/anbo/index.php?id=20
寰宇臺灣,https://fm1077.serv00.net/anbo/index.php?id=87
年代新聞,https://fm1077.serv00.net/anbo/index.php?id=2719
年代新聞,https://fm1077.serv00.net/anbo/index.php?id=1099
壹新聞,https://fm1077.serv00.net/anbo/index.php?id=2777
壹新聞,https://fm1077.serv00.net/anbo/index.php?id=494
非凡新聞,https://fm1077.serv00.net/anbo/index.php?id=2795
